"Games","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP","Hand_OBP","Hand_SLG","Hand_BABIP","Hand_ISO","Hand_SBPerG","P_OPS","AL","SameTeam","weight","height","age","bats_right","bats_switch"
138,372,41,115,22,5,6,55,2,0,42,14,7,7,5,4,14,0.386,0.444,0.306,0.134,0.0144927536231884,0.44,0,1,200,76,27,0,0
33,88,8,12,0,0,2,6,0,0,4,35,0,0,6,0,2,0.174,0.205,0.196,0.068,0,0.4,1,1,215,74,28,1,0
31,71,8,14,1,0,0,0,1,1,4,8,0,0,1,0,3,0.24,0.211,0.222,0.014,0.032258064516129,0,0,1,170,72,26,0,1
152,612,98,157,18,5,6,51,56,13,53,40,1,3,11,7,11,0.316,0.332,0.264,0.075,0.368421052631579,0.703,1,1,160,69,25,1,0
58,104,16,25,0,1,4,16,1,1,18,9,3,5,1,2,0,0.372,0.375,0.226,0.135,0.0172413793103448,0,1,1,185,72,25,0,0
29,52,1,3,0,0,0,3,0,0,1,28,0,0,4,0,0,0.075,0.058,0.125,0,0,0,0,1,190,76,29,1,0
139,371,55,95,11,1,18,70,5,6,16,87,1,6,3,5,7,0.294,0.437,0.284,0.181,0.0359712230215827,0.558,0,1,190,76,24,1,0
31,61,4,8,4,0,1,5,0,0,5,32,0,0,3,0,1,0.197,0.246,0.25,0.115,0,0.667,1,1,190,75,32,0,0
46,91,9,15,1,1,4,12,0,1,4,31,0,0,8,1,2,0.198,0.33,0.193,0.165,0,0,0,1,190,77,23,1,0
69,66,12,11,1,0,1,5,0,1,11,16,1,0,3,1,1,0.282,0.227,0.2,0.061,0,0,1,1,165,69,28,1,0
24,46,6,14,6,0,1,5,0,0,4,11,1,0,0,0,1,0.36,0.5,0.382,0.196,0,3.417,0,0,200,71,28,1,0
118,244,27,58,12,1,4,23,0,4,31,29,2,1,6,2,3,0.324,0.344,0.254,0.107,0,0,0,1,175,70,21,0,0
156,624,84,191,34,6,2,70,5,6,71,13,8,7,9,5,6,0.38,0.389,0.308,0.083,0.032051282051282,0.964,1,1,160,70,32,0,0
50,93,8,27,4,0,0,13,0,0,7,11,2,0,1,2,5,0.333,0.333,0.321,0.043,0,0.5,0,1,190,72,37,1,0
145,553,91,156,18,4,3,34,23,10,96,25,4,0,3,3,3,0.387,0.345,0.29,0.063,0.158620689655172,0.536,0,1,175,70,31,0,1
104,268,21,67,14,1,1,28,3,0,19,20,0,2,2,0,4,0.304,0.321,0.267,0.071,0.0288461538461538,0.516,1,1,165,71,33,0,0
124,413,57,114,19,2,25,80,3,2,58,92,6,3,3,3,13,0.367,0.513,0.298,0.237,0.0241935483870968,1.025,0,1,200,73,35,1,0
31,101,11,30,2,1,2,10,0,1,9,10,3,0,1,1,4,0.351,0.396,0.311,0.099,0,1.266,1,0,225,74,35,0,0
35,54,3,6,3,0,0,0,0,0,2,29,0,0,2,0,0,0.143,0.167,0.24,0.056,0,0,0,1,210,74,24,1,0
149,515,78,140,26,7,5,60,20,9,78,68,5,8,13,9,5,0.37,0.379,0.299,0.107,0.134228187919463,0.638,1,1,180,73,25,1,0
108,311,37,90,14,1,8,49,0,1,26,25,1,2,8,4,12,0.344,0.418,0.291,0.129,0,0.465,0,1,185,72,29,0,0
140,505,63,134,22,3,22,84,4,3,55,49,6,9,2,5,27,0.345,0.451,0.255,0.186,0.0285714285714286,0.614,1,1,185,73,35,1,0
67,210,22,58,9,3,0,27,2,1,19,26,4,1,1,0,2,0.339,0.348,0.315,0.071,0.0298507462686567,0.167,1,1,196,70,23,1,0
145,543,93,164,26,11,19,74,15,6,81,64,1,3,8,2,9,0.394,0.495,0.314,0.193,0.103448275862069,0.711,0,1,169,72,29,0,0
151,616,103,177,30,11,19,83,17,6,43,86,2,4,21,1,22,0.337,0.464,0.309,0.177,0.112582781456954,1.037,0,1,165,70,28,1,0
117,379,43,100,27,1,5,40,1,1,27,28,7,4,4,1,8,0.319,0.38,0.274,0.116,0.00854700854700855,0.7,1,1,180,69,31,1,0
34,65,4,16,1,0,0,4,0,0,6,13,0,0,3,1,1,0.306,0.262,0.302,0.015,0,1.25,0,1,170,71,27,0,0
80,177,18,39,9,4,4,19,5,3,11,19,3,1,0,3,1,0.266,0.384,0.223,0.164,0.0625,0.214,1,1,196,72,38,0,0
53,126,20,37,5,1,5,25,0,1,23,18,0,1,3,0,3,0.407,0.468,0.311,0.175,0,0,1,1,205,71,25,1,0
118,397,39,92,14,7,10,38,7,5,52,69,11,3,5,4,7,0.322,0.378,0.255,0.146,0.0593220338983051,0.19,0,1,190,71,26,0,0
47,73,7,9,1,0,0,2,0,0,5,19,0,0,10,0,2,0.179,0.137,0.167,0.014,0,0.5,1,1,195,74,26,1,0
23,32,3,7,0,0,2,5,0,0,1,6,0,0,1,0,0,0.242,0.406,0.208,0.188,0,1,0,1,180,74,24,1,0
129,472,65,112,16,4,17,55,7,5,46,74,3,5,5,1,10,0.311,0.396,0.249,0.159,0.0542635658914729,0.775,1,1,189,72,31,1,0
126,370,59,114,11,2,23,88,1,5,58,71,13,0,5,2,8,0.4,0.535,0.327,0.227,0.00793650793650794,0.833,0,1,179,72,33,0,0
67,13,2,2,0,0,0,0,0,0,3,5,0,0,4,0,0,0.312,0.154,0.25,0,0,0.5,1,1,195,72,39,1,0
127,277,40,61,5,3,9,45,7,6,62,55,1,0,1,4,7,0.359,0.357,0.24,0.137,0.0551181102362205,0.5,1,1,180,75,35,0,0
